Ward Code,Ward Name,Borough,Population,Working age population,Child population,16-59 population,Old age population,IMD Extent %,IMD Extent Rank,IMD Average rank,IMD average rank rank,IMD average score,IMD average score rank,Rank of worst LSOA,Worst LSOA Code,Worst LSOA: % of resident in ward,Number of LSOAs,# LSOAs in worst 5%,# LSOAs in worst 10%,# LSOAs in worst 20%,# LSOAs in worst 50%,Income scale,Income score,Income rank,Employment scale,Employment score,Employment rank,IDACI scale,IDACI score,IDACI score rank,IDAOPI scale,IDAOPI score,IDAOPI score (rank)
E05000445,Grove Park,Lewisham,15046,9281,3160,9286,2600,22%,202,12130.7,247,25.3,224,4473,E01003266,100%,9.00,0.00,0.00,2.00,7.00,2395.7,0.159,220,1034.7,0.111,144,654.66,0.207,225,527.21,0.203,342
E05000446,Ladywell,Lewisham,14775,10234,2588,10295,1892,4%,377,13888.3,301,21.1,310,7727,E01003275,100%,8.00,0.00,0.00,0.00,5.00,2002.3,0.136,302,869.3,0.085,293,526.66,0.203,236,394.00,0.208,332
E05000447,Lee Green,Lewisham,16098,10587,3148,10549,2401,4%,378,15885.1,353,19.1,355,7935,E01003286,100%,8.00,0.00,0.00,0.00,4.00,1839.4,0.114,385,799.4,0.076,369,519.81,0.165,341,395.18,0.165,415
E05000448,Lewisham Central,Lewisham,19735,14028,3669,13966,2100,34%,126,8425.5,112,30.5,106,2875,E01003290,100%,11.00,0.00,2.00,3.00,11.00,3288.9,0.167,192,1494.1,0.107,174,903.67,0.246,133,582.47,0.277,196
E05000449,New Cross,Lewisham,16746,11897,3396,11877,1473,53%,45,6553.8,41,33.9,44,3393,E01003305,100%,10.00,0.00,0.00,5.00,10.00,3391.9,0.203,81,1402.7,0.118,109,997.31,0.294,40,578.30,0.393,57
E05000450,Perry Vale,Lewisham,16383,10817,3394,10837,2152,14%,257,12502.6,261,23.5,263,5772,E01003313,100%,10.00,0.00,0.00,1.00,6.00,2467.3,0.151,246,1027.8,0.095,238,740.98,0.218,197,452.00,0.210,328
E05000451,Rushey Green,Lewisham,15490,10199,3389,10220,1881,52%,51,6683.8,46,33.9,46,2640,E01003318,100%,9.00,0.00,1.00,5.00,9.00,2899.8,0.187,122,1408.5,0.138,34,775.01,0.229,166,445.70,0.237,272
E05000452,Sydenham,Lewisham,16858,10758,3560,10741,2557,16%,241,10412.7,191,26.4,198,6223,E01003330,100%,10.00,0.00,0.00,2.00,9.00,2808.9,0.167,193,1159.8,0.108,167,792.50,0.223,181,577.07,0.226,295
E05000453,Telegraph Hill,Lewisham,17583,12302,3325,12409,1849,17%,236,11854.4,237,24.4,242,6016,E01003338,100%,10.00,0.00,0.00,3.00,9.00,2764.6,0.157,229,1171.5,0.095,236,744.71,0.224,178,557.94,0.302,163
E05000454,Whitefoot,Lewisham,15593,9289,3864,9448,2281,40%,94,8004.8,92,31.3,89,3111,E01003347,100%,9.00,0.00,1.00,4.00,9.00,3165.7,0.203,80,1184.4,0.128,73,1075.43,0.278,73,536.90,0.235,279
E05000455,Abbey,Merton,10770,7631,1916,7602,1252,1%,429,23553.4,540,11.7,531,9578,E01003357,100%,6.00,0.00,0.00,0.00,1.00,927.8,0.086,485,380.1,0.050,543,239.44,0.125,440,247.47,0.198,356
E05000456,Cannon Hill,Merton,9370,5628,1710,5572,2088,0%,438,25728.9,585,9.3,582,15790,E01003366,100%,6.00,0.00,0.00,0.00,1.00,639.5,0.068,548,261.2,0.046,570,136.64,0.080,547,242.86,0.116,514
E05000457,Colliers Wood,Merton,10910,7872,1640,7896,1374,0%,438,18724.3,428,15.7,439,9855,E01003372,100%,6.00,0.00,0.00,0.00,1.00,1015.5,0.093,450,436.3,0.055,501,213.73,0.130,421,274.76,0.200,350
E05000458,Cricket Green,Merton,12235,7335,2978,7402,1855,23%,191,10302.2,187,26.7,194,6620,E01003373,100%,7.00,0.00,0.00,0.00,7.00,2345.1,0.192,107,840.0,0.115,124,724.21,0.243,142,470.52,0.254,238
E05000459,Dundonald,Merton,9512,6377,1911,6336,1265,0%,438,28708.7,621,6.6,620,27029,E01003384,100%,6.00,0.00,0.00,0.00,0.00,350.1,0.037,627,146.3,0.023,630,74.62,0.039,623,122.98,0.097,556
E05000460,Figge's Marsh,Merton,11809,7384,2806,7402,1601,22%,204,11182.5,218,25.8,210,4736,E01003391,100%,7.00,0.00,0.00,2.00,5.00,2011.1,0.170,179,767.7,0.104,193,639.22,0.228,169,394.44,0.246,257
E05000461,Graveney,Merton,10093,6729,1856,6746,1491,0%,438,19960.6,457,14.0,475,17864,E01003394,100%,6.00,0.00,0.00,0.00,0.00,937.5,0.093,451,397.9,0.059,483,200.48,0.108,482,255.29,0.171,400
E05000462,Hillside,Merton,9115,5975,1501,5918,1696,0%,438,28675.4,620,6.6,621,25722,E01003399,100%,6.00,0.00,0.00,0.00,0.00,362.9,0.040,620,151.8,0.025,629,41.90,0.028,629,208.82,0.123,502
E05000463,Lavender Fields,Merton,10982,7368,2336,7459,1187,0%,438,15310.8,340,19.7,345,10386,E01003405,100%,6.00,0.00,0.00,0.00,4.00,1624.7,0.148,254,602.7,0.082,323,467.92,0.200,241,325.62,0.274,200
E05000464,Longthornton,Merton,10726,6645,2359,6724,1643,0%,438,17160.8,381,17.0,405,12249,E01003412,100%,6.00,0.00,0.00,0.00,2.00,1207.0,0.113,393,517.5,0.078,355,313.34,0.133,414,312.41,0.190,366
E05000465,Lower Morden,Merton,9136,5305,1794,5325,2017,0%,438,25373.1,578,9.3,580,22958,E01003419,100%,6.00,0.00,0.00,0.00,0.00,537.3,0.059,582,260.1,0.049,551,130.97,0.073,565,166.26,0.082,587
E05000466,Merton Park,Merton,9710,5809,1904,5772,2034,0%,438,26700.1,602,8.2,605,19865,E01003427,100%,6.00,0.00,0.00,0.00,0.00,548.4,0.056,587,220.3,0.038,604,122.53,0.064,588,184.37,0.091,570
E05000467,Pollards Hill,Merton,11039,6670,2621,6744,1674,20%,218,13490.5,287,23.1,272,4161,E01003432,100%,7.00,0.00,0.00,1.00,3.00,1874.3,0.170,181,698.7,0.105,190,648.50,0.247,129,273.24,0.163,417
E05000468,Ravensbury,Merton,10088,6182,2160,6216,1712,2%,407,12098.6,245,23.4,266,9363,E01003439,100%,6.00,0.00,0.00,0.00,5.00,1593.7,0.158,224,648.1,0.105,187,465.78,0.216,206,323.02,0.189,370
